coffee name,coffee rating,roaster name,roaster country/state,roaster city,coffee origin country,coffee origin city,roast level,whole bean (agtron),after grinding (agtron),price,pricing unit (g),review date,aroma,acidity,body,flavor,aftertaste,blind ass (paragraph),species (paragraph)
Uluwehi Farm Kona SL34 Yeast-Fermentation Washed Peaberry,94,Paradise Roasters,Minnesota,['Minneapolis'],['Hawaii'],"['Holualoa', ' Kona growing region']",Medium-Light,56.0,72.0,40.0,113.4,February 2022,9.0,9.0,9.0,9.0,8.0,"Richly sweet, deeply layered. Lychee, tangerine zest, mesquite, star jasmine, agave syrup in aroma and cup. Sweet-tart structure with vibrantly bright acidity; very full, syrupy mouthfeel. The finish consolidates to notes of agave syrup and mesquite.","Produced at Uluwehi Farm entirely of the SL34 variety of Arabica, and processed by an experimental washed method that adds wine yeast during the fermentation step. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information."
Ka’u IPA Natural,95,Paradise Roasters,Minnesota,['Minneapolis'],['Hawaii'],['Ka’u growing region'],Medium-Light,58.0,78.0,25.0,113.4,February 2022,9.0,9.0,9.0,9.0,9.0,"Complex, high-toned, resiny. Malt, amber, pomelo, baking chocolate, date in aroma and cup. Brightly bittersweet structure with juicy acidity; plush, satiny mouthfeel. Perfumed finish with leading notes of amber and pomelo.","Grown by Miranda Farms, entirely of the Red Catuai variety of Arabica, and processed by Miguel Meza by a proprietary method that utilizes a yeast strain associated with the style of beer known as Indian Pale Ale or IPA during fermentation. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information."
Ecuador Finca Lugmapata Mejorado,95,Paradise Roasters,Minnesota,['Minneapolis'],['Ecuador'],"['Pallatanga', ' Chimborazo']",Light,64.0,80.0,18.0,170.1,February 2022,9.0,9.0,9.0,9.0,9.0,"Richly floral, crisply spice-toned. Bergamot, ginger blossom, cocoa nib, sandalwood, cashew butter in aroma and cup. Sweetly tart structure with bright, lovely acidity; viscous, silky mouthfeel. Resonant, long, flavor-saturated finish.","Produced at Finca Lugmapata entirely of the Typica Mejorado variety of Arabica, and processed by the washed method. Genetic testing suggests that the Typica Majorado is not a Typica variety, but shares Bourbon and Ethiopia ancestry. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information."
Shakiso Natural,94,JBC Coffee Roasters,Wisconsin,['Madison'],['southern Ethiopia'],"['Guji Zone', ' Oromia Region']",Medium-Light,58.0,76.0,19.0,340.19,February 2022,9.0,9.0,9.0,9.0,8.0,"Deeply aromatic, richly sweet-tart. Black cherry, honeysuckle, hazelnut butter, baking chocolate, tangerine zest in aroma and cup. Sweetly tart structure with fruit-toned, winy acidity; full, syrupy-smooth mouthfeel. Finish consolidates to notes of hazelnut and baking chocolate with support from black cherry.","Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in the region. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with washed coffees. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information."
Cerro Azul Geisha Honey Process,94,JBC Coffee Roasters,Wisconsin,['Madison'],['Colombia'],"['Trujillo', ' Valle del Cauca']",Medium-Light,58.0,76.0,36.0,226.8,February 2022,9.0,9.0,9.0,9.0,8.0,"Richly sweet, fruit-forward. Dried apricot, cocoa nib, star jasmine, almond, maple syrup in aroma and cup. Sweetly tart structure with bright, juicy acidity; crisp, syrupy mouthfeel. Long, lingering finish that centers on dried apricot and cocoa notes, supported by cedar-like wood.","Rainforest Alliance-certified. Produced by the Herrera brothers of Granja La Esperanza at Cerro Azul Farm, entirely of the celebrated Geisha variety of Arabica and processed by the honey method (skins are removed but at least some of the sticky fruit flesh is allowed to dry on the beans). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information."
La Esmeralda Diamond Mountain Washed Coffee,94,Satur Specialty Coffee,Taiwan,['Tainan'],['Panama'],['Boquete growing region'],Medium-Light,60.0,78.0,15.51,225,February 2022,9.0,9.0,9.0,9.0,8.0,"High-toned, floral. Narcissus, apricot, almond, tangerine zest, sandalwood in aroma and cup. Balanced, sweet structure with bright acidity; plush, syrupy mouthfeel. The resonant finish centers around narcissus and tangerine zest.","Produced at the famous Panama producer Hacienda La Esmeralda and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Satur Specialty Coffee is a farm-to-cup roastery, coffee shop, and SCA training center. Visit www.satur.com.tw for more information."
Karen J Kona Red Bourbon Natural Anaerobic,95,Hula Daddy Kona Coffee,Hawai’i,['Holualoa'],['Hawaii'],"['Holualoa', ' North Kona growing district']",Medium-Light,56.0,76.0,49.95,226.8,February 2022,9.0,9.0,9.0,9.0,9.0,"Rich-toned, deeply floral. Wisteria, cocoa nib, apricot, maple syrup, pink grapefruit zest in aroma and cup. Balanced, sweet structure with juicy but elegant acidity; plush, satiny mouthfeel. The finish is all flowers supported by deep cocoa notes.","Produced entirely from trees of the Red Bourbon variety of Arabica and grown on Hula Daddy’s higher elevation farm; processed by the natural anaerobic method. This presentation of the coffee is named for co-owner Karen Paterson, whose middle name is Jue and whose favorite coffee is the Red Bourbon. Hula Daddy is a boutique coffee producer with farms at the 1,400 and 2,500-foot levels of the Mount Hualalai volcano near the northern end of the Kona growing district, five minutes above the town of Kailua-Kona. Visit www.huladaddy.com or call 888-553-2339 for more information."
El Salvador Finca Mileydi Pacamara,95,Red Rooster Coffee Roaster,Virginia,['Floyd'],['El Salvador'],"['Cantón El Tunel', ' La Palma', ' Chalatenango']",Medium-Light,60.0,78.0,24.99,340.19,February 2022,9.0,9.0,9.0,9.0,9.0,"Richly sweet-savory. Mulberry, lemon verbena, dark chocolate, pink grapefruit zest, magnolia in aroma and cup. Crisply sweet structure with vibrant, balanced acidity; plush, syrupy mouthfeel. Chocolaty finish with undertones of magnolia and pink grapefruit zest.","Produced by Ever and Norelvia Diaz of Finca Mileydi, entirely of the Pacamara variety of Arabica, and processed by the semi-washed or honey method (skins are removed but at least some of the sticky fruit flesh is allowed to dry on the beans). The coffee won first place in the 2021 El Salvador Cup of Excellence. Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious, high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information."
El Salvador Las Veraneras Red Bourbon,94,Red Rooster Coffee Roaster,Virginia,['Floyd'],['Apaneca Ilamatepec mountain range'],[],Medium-Light,58.0,78.0,18.99,340.19,February 2022,9.0,9.0,9.0,9.0,8.0,"Delicately sweet-tart, fruit-forward. Dried apricot, cocoa nib, turmeric, sticky rice, lemon balm in aroma and cup. Tart-leaning structure with juicy, bright acidity; full, satiny-smooth mouthfeel. The resonant finish consolidates to notes of dried apricot and turmeric.","Produced by Jorge Cruz Reyes and Laura Rubio entirely of the Red Bourbon variety of Arabica, and processed by the anaerobic natural method (fermented in the whole fruit in a hermetically sealed vessel). Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious, high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information."
Costa Rica Brunca Rivense La Guaca Passion Honey,94,Home in Harmony,Taiwan,['Taipei'],['Costa Rica'],['Brunca Region'],Medium-Light,58.0,78.0,13.2,227,February 2022,9.0,9.0,9.0,9.0,8.0,"Richly sweet, delicately fermenty. Dried nectarine, dark chocolate, Cointreau, pink peppercorn, lilac in aroma and cup. Sweetly tart structure with winy acidity. Plush, syrupy mouthfeel. Quietly fermenty finish with notes of dark chocolate and Cointreau.","This Costa Rica was processed by a refined variation on the honey method (coffee fruit is pulped or skinned but dried in the fruit flesh). Home in Harmony coffees are created by HiH Lifestyle Co., a coffee roaster tailored to retail, wholesale and commercial coffee solutions. Visit www.hih2020.com or email [email protected]"
Hunkute by Nordic Approach,94,Cafe Red Bean Shop,Taiwan,['Taipei'],['southern Ethiopia'],['Sidama growing region'],Light,64.0,88.0,16.5,227,February 2022,9.0,9.0,9.0,9.0,8.0,"High-toned, floral-driven. Star jasmine, bergamot, red plum, cocoa nib, sandalwood in aroma and cup. Sweetly tart with vibrant, juicy acidity; delicate, silky-smooth mouthfeel. In the finish, star jasmine and cocoa nib give way to bergamot and sandalwood.","Produced by smallholding members of the Sidama Coffee Farmers Cooperative Union (SCFCU) from trees of the 74110 and 74112 varieties of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Cafe Red Bean Shop, based in New Taipei City, Taiwan, specializes in high-quality pour-over coffees brewed with a range of different devices. Visit shopee.tw/caferedbean for more information."
Schweik’s Blend,94,Metropolis Coffee,Illinois,['Chicago'],['Africa'],[],Light,62.0,80.0,11.75,297.67,February 2022,9.0,9.0,9.0,9.0,8.0,"Richly fruit-toned, balanced and multi-layered. Apricot, blueberry, almond, cocoa nib, dried hibiscus in aroma and cup. Sweetly tart with high-toned acidity; viscous, satiny mouthfeel. The concentrated finish consolidates to notes of cocoa-toned apricot and blueberry.","A blend of coffees from undisclosed African origins. Metropolis Coffee’s motto is “Great coffee for everyone.” The Chicago-based roaster specializes in affordable, high-quality single-origins and blends. Visit www.metropoliscoffee.com for more information."
Whiskey Dreams Moka Java,94,Old Soul Co.,California,['Sacramento'],"['Indonesia', 'Ethiopia']",[],Medium-Light,58.0,76.0,18.0,340.19,February 2022,9.0,9.0,9.0,9.0,8.0,"Sweetly spice-toned, gently fermenty. Dark chocolate, fennel, raspberry jam, whiskey barrel, lemon balm in aroma and cup. Brightly sweet with juicy acidity; plush, creamy mouthfeel. The resonant finish centers around notes of whiskey-toned raspberry and oak.","This exceptional coffee was selected as the No. 27 coffee on Coffee Review’s list of the Top 30 Coffees of 2022. A pre-roast blend of two coffees, a wet-hulled Sumatra and a natural-processed Ethiopia. Old Soul is a roastery, bakery and crafter of artisanal goods dedicated to quality in every form. Visit www.oldsoulco.com or call 916-443-7685 for more information."
Black Level Blend,94,St1 Cafe/Work Room,Taiwan,['Tainan'],"['Kenya', 'Colombia']",[],Medium-Light,57.0,74.0,16.17,150,February 2022,9.0,9.0,9.0,9.0,8.0,"Richly sweet-savory, deep-toned. Cocoa nib, ripe tomato, lemon verbena, star jasmine, cedar in aroma and cup. Savory-leaning structure with balanced, lively acidity; very full, syrupy mouthfeel. Crisply cocoa-toned finish supported by sweet herb notes.","A post-roast blend of two washed-process coffees, one from Kenya and one from Colombia. St1 Cafe and Work Room, based in Tainan, Taiwan, was founded by Stone Kuo in 2014 and offers customers top-quality coffee in a cafe environment conducive to remote work. Visit www.st1cafe.com for more information."
Karindundu Kenya,94,JBC Coffee Roasters,Wisconsin,['Madison'],['Kenya'],['Nyeri County'],Medium-Light,58.0,78.0,22.0,340.19,February 2022,9.0,9.0,9.0,9.0,8.0,"Resonantly sweet-tart, high-toned. Passion fruit, toffee, pink grapefruit zest, jasmine, cedar in aroma and cup. Sweet-tart structure with juicy-bright acidity; very full, syrupy mouthfeel. The long, lingering finish centers around notes of toffee and pink grapefruit zest.","Produced by smallholding farmers from trees of the SL28, Ruiru 11, Batian and Ruiru varieties of Arabica, and processed at the Karindudu Washing Station. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information."
Colombia Geisha Natural,94,Cafe Kreyol,Virginia,['Manassas'],['Colombia'],['Tolima Department'],Medium-Light,60.0,76.0,34.95,226.8,February 2022,9.0,9.0,9.0,9.0,8.0,"Richly fruity, balanced, complex. Mango, lemon verbena, cocoa nib, freesia-like flowers, sandalwood in aroma and cup. Sweetly tart with vibrant, high-toned acidity; full, syrupy mouthfeel. Fruit- and cocoa-toned finish. ","Produced by the Bayter Brothers of El Vergel Estate entirely of the Geisha variety of Arabica, and processed by the natural method (dried in the whole fruit). Cafe Kreyol is a roaster in Manassas, Virginia with the mission of creating sustainable employment by way of specialty coffee. Visit www.cafekreyol.com or call 571-719-7018 for more information."
Pacas Estate El Salvador Natural,94,Cafe Kreyol,Virginia,['Manassas'],['El Salvador'],"['Los Naranjos', ' Juayua', ' Sonsonate']",Medium-Light,54.0,72.0,15.99,340.19,February 2022,9.0,9.0,9.0,9.0,8.0,"Crisply fruit-forward, sweetly nut-toned. Raspberry jam, hazelnut brittle, dark chocolate, lilac, cedar in aroma and cup. Brightly sweet structure with juicy acidity; plush, creamy mouthfeel. The resonant finish consolidates to notes of hazelnut brittle and cedar.","Produced by Maria Pacas and processed by the natural method (dried in the whole fruit). Cafe Kreyol is a roaster in Manassas, Virginia with the mission of creating sustainable employment by way of specialty coffee. Visit www.cafekreyol.com or call 571-719-7018 for more information."
Hunapu Natural Guatemala,94,JBC Coffee Roasters,Wisconsin,['Madison'],['Guatemala'],['Antigua'],Medium-Light,56.0,76.0,19.0,340.19,January 2022,9.0,9.0,9.0,9.0,8.0,"Cleanly fruit-forward. Date, pink grapefruit zest, fresh-cut oak, hazelnut, magnolia in aroma and cup. Sweet structure with crisp acidity; buttery-smooth mouthfeel. The finish consolidates to pink grapefruit zest and hazelnut.","Produced by smallholding farmers from trees of the Bourbon, Caturra and Catuaí varieties of Arabica and processed by the natural method (beans are dried in the whole fruit). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information."
Kabiufa Papua New Guinea,95,JBC Coffee Roasters,Wisconsin,['Madison'],['Papua New Guinea'],"['Kabiufa', ' Eastern Highlands']",Light,60.0,82.0,18.0,340.19,January 2022,9.0,9.0,9.0,9.0,9.0,"Rich, deep-toned, complex. Toffee, pomegranate, tangerine zest, a hint of gardenia, cedar in aroma and cup. High-toned structure with juicy acidity; vibrant, plush mouthfeel. Long, lingering, harmonious finish.","This exceptional coffee was selected as the No. 11 coffee on Coffee Review’s list of the Top 30 Coffees of 2022. Produced by smallholding farmers from trees of the Arusha, Mundo Novo and Typica varieties of Arabica and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information."
Ethiopia Natural Sidama TAMIRU 74158,96,Kakalove Cafe,Taiwan,['Chia-Yi'],['southern Ethiopia'],['Sidama growing region'],Medium-Light,60.0,78.0,13.2,113.4,January 2022,9.0,9.0,9.0,10.0,9.0,"Provocatively sweet, richly floral, musky. Aromatic orchid, cocoa nib, finger lime, fine musk, toffee in aroma and cup. Elegantly tart in structure with bright, juicy acidity; crisp yet syrupy mouthfeel. Very long, flavor-laden finish.","Produced by Tamiru Tadesse entirely of the 74165 variety of Arabica, and processed by the natural method (dried in the whole fruit). Kakalove Cafe is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information."
Bedhatu Jibicho Natural,95,JBC Coffee Roasters,Wisconsin,['Madison'],['southern'],"['Gedeb District', ' Gedeo Zone']",Medium-Light,60.0,76.0,20.0,340.19,January 2022,9.0,9.0,9.0,9.0,9.0,"Richly fruit-toned, balanced. Raspberry, pink peppercorn, star jasmine, cocoa nib, lemon-thyme in aroma and cup. Sweetly tart structure with vibrant acidity; creamy-smooth mouthfeel. The sweetly herb-toned finish leads with notes of raspberry and cocoa nib.","Certified Fair Trade and USDA Organic. Produced by Bedhatu Jibicho mainly from trees of indigenous landrace varieties of Arabica long grown in the region, and processed by the natural method (dried in the whole fruit). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information."
Ethiopia Natural Guji DoReMi,95,Kakalove Cafe,Taiwan,['Chia-Yi'],['southern Ethiopia'],"['Guji Zone', ' Oromia Region']",Medium-Light,57.0,77.0,6.93,226.8,January 2022,9.0,9.0,9.0,9.0,9.0,"Evaluated as espresso. Concentrated, sweet-tart-savory. Candycap mushroom, mulberry, sandalwood, almond nougat, ginger blossom in aroma and small cup. Creamy-viscous mouthfeel; intensely sweet-tart finish. In three parts milk, tart fruit and umami notes mingle with nut-toned caramel.",Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopia landrace varieties of Arabica long grown in the region. Processed by the natural method (dried in the whole fruit). Kakalove Cafe is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.
Sabana Redonda SL28 Costa Rica,94,JBC Coffee Roasters,Wisconsin,['Madison'],['Costa Rica'],"['Sabanilla de Alajuela', ' Central Valley']",Medium-Light,58.0,80.0,18.0,226.8,January 2022,9.0,9.0,9.0,9.0,8.0,"Richly sweet-savory. Dried nectarine, dark chocolate, sassafras, narcissus, sandalwood in aroma and cup. Bright, lively acidity; very full, syrupy mouthfeel. The resonant finish centers around cocoa-toned peach notes.","Produced by Francisca and Oscar Chacon of Finca Las Lajas entirely of the SL28 variety of Arabica, and processed by the proprietary “black diamond” method, essentially a honey process with elongated drying time. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information."
Ethiopia Bench Maji Gesha Village Dimma Illubabor Forest A6 Natural,95,Taster's Coffee,Taiwan,['Taipei'],['Southern Ethiopia'],['Bench-Maji Zone'],Light,64.0,82.0,15.68,113,January 2022,9.0,9.0,9.0,9.0,9.0,"Gently fruit-toned, lyrically sweet. Nectarine, cherry blossom, almond butter, oregano, honey in aroma and cup. Richly sweet with high-toned acidity; full, syrupy mouthfeel. Integrated finish that retains all the notes from the aroma and cup.","Produced from trees of the rare Ethiopia-derived botanical variety Gesha (also Geisha) by Adam and Rachel Overton. With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Gesha variety continues to distinguish itself as one of the world’s most unique coffees. Although the Gesha variety originated in Ethiopia, it was “discovered” by the coffee world in 2004 growing in Boquete, Panama, and Panama continues to dominate the expanding world of Gesha. This particular version, however, is the outcome of efforts to commercialize Gesha in the region from which it originally came. It is processed by the natural method (dried in the whole fruit). Taster’s Coffee is a nano-roaster based in new Taipei City, Taiwan. Visit www.tasterscoffee.com for more information."
Sumatra Siamang Forest,94,Paradise Roasters,Minnesota,['Minneapolis'],['Indonesia'],"['Simalungun', ' Sumatra']",Medium-Light,54.0,72.0,25.0,340.19,January 2022,9.0,9.0,9.0,9.0,8.0,"Multi-layered, wide-ranging. Salted caramel, tangerine, lemon-thyme, cedar, magnolia in aroma and cup. Sweet structure with high-toned acidity; plush, syrupy mouthfeel. Resonant finish centers around notes of tangerine and caramel.","Produced by smallholding farmers, from trees of the Sigarar Utang and Typica varieties of Arabica, and processed by the Indonesia washed and wet-hulled method. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information."
Yemen Jabal Nabi Special Reserve,94,RamsHead Coffee Roasters,Montana,['Bozeman'],['Yemen'],"['Hayma Dakhiliya growing region', ' Sana’a Governorate']",Medium-Light,57.0,73.0,13.95,113.4,January 2022,9.0,9.0,9.0,9.0,8.0,"Sweetly fermenty, complex. Grappa barrel, goji berry, pipe tobacco, gardenia, pink grapefruit zest in aroma and cup. Sweet-toned with fruit-driven acidity; creamy mouthfeel. The finish centers on notes of grappa barrel and pipe tobacco.","Produced by smallholding farmers and processed by the natural method. RamsHead Coffee Roasters is a family-owned company founded by Bozeman, Montana, natives Caleb and Laura Walker that specializes in direct trade microlot coffees. For more information, visit www.ramsheadcoffee.com."
Kenya Gakuyuini AA,94,RamsHead Coffee Roasters,Montana,['Bozeman'],['south-central Kenya'],['Kirinyaga County'],Medium-Light,58.0,76.0,16.95,340.19,January 2022,9.0,9.0,8.0,9.0,9.0,"Deeply sweet-savory, yet bright and juicy. Dark chocolate, hop flowers, apricot, marjoram, cedar in aroma and cup. Sweetly savory structure with vibrant acidity; crisp, lightly satiny mouthfeel. The long, lingering finish retains its flavor-saturated, engaging structure throughout.","Produced by smallholding members of the Thirikwa Cooperative Society and traditionally wet-processed at the Gakuyuini Factory from trees of the SL28, SL34 and Ruiru 11 varieties of Arabica. RamsHead Coffee Roasters is a family-owned company founded by Bozeman, Montana, natives Caleb and Laura Walker that specializes in direct trade microlot coffees. For more information, visit www.ramsheadcoffee.com."
Hacienda Esmeralda Ethiopian Accessions,95,modcup coffee,New Jersey,['Jersey City'],['Panama'],['Boquete'],Light,62.0,80.0,25.0,226.8,January 2022,9.0,9.0,9.0,9.0,9.0,"Bright, balanced, floral-driven. Ginger blossom, red plum, cocoa nib, tangerine zest, fresh-cut oak in aroma and cup. Juicy-sweet structure with lively acidity; plush, syrupy mouthfeel. Cocoa-toned finish with undertones of tangerine zest.","This exceptional coffee was selected as the No. 13 coffee on Coffee Review’s list of the Top 30 Coffees of 2022. A blend of Ethiopian heirloom varieties of Arabica, planted in Panama by the Peterson family of Hacienda Esmeralda and processed by the washed method. Founded in 2013, modcup coffee focuses on fresh roasting and distinctive natural-processed coffees. Visit modcup.com for more information."
Gelena Geisha,94,Corvus Coffee Roasters,Colorado,['Denver'],['southern Ethiopia'],"['Guji Zone', ' Oromia region']",Medium-Light,60.0,78.0,19.0,340.19,January 2022,9.0,8.0,9.0,9.0,9.0,"Deeply sweet, slightly fermenty. Dark chocolate, orange zest, whiskey barrel, almond butter, magnolia in aroma and cup. Bittersweet structure with round acidity; viscous, buoyant mouthfeel. Long, flavor-saturated, balanced finish.","Produced by Israel Defga entirely of the Geisha variety of Arabica, and processed by the natural method (beans are dried in the whole fruit). Corvus particularly focuses on processing methods and selective harvesting, which results in small, seasonal micro-lots of uniquely sweet, vibrant, and clean flavor profiles. For more information, visit www.corvuscoffee.com."
Ethiopia Anaerobic Natural,94,modcup coffee,New Jersey,['Jersey City'],['southern Ethiopia'],['Sidama (also Sidamo) growing region'],Medium-Light,59.0,77.0,25.0,226.8,January 2022,9.0,9.0,9.0,9.0,8.0,"Deep-toned, sweetly savory. Concord grape, hop flowers, grapefruit extract, dark chocolate, sandalwood in aroma and cup. Savory-leaning structure with vibrant acidity; buttery mouthfeel. The finish centers around notes of Concord grape and sandalwood, supported by dark chocolate.","Produced by Faysel Abdosh from distinctive traditional Ethiopian landrace varieties of Arabica long grown in the region. This lot was processed by the anaerobic natural method, in which fermentation of the whole fruit occurs in a hermetically sealed vessel. Founded in 2013, modcup coffee focuses on fresh roasting and distinctive natural-processed coffees. Visit modcup.com for more information."
Rainy Day Espresso Blend,94,Warm Air Kafe,Taiwan,['Taoyuan'],"['Ethiopia', 'Costa Rica']",[],Medium-Light,54.0,72.0,11.55,230,January 2022,9.0,9.0,9.0,8.0,9.0,"Evaluated as espresso. High-toned, complex. Dark chocolate, dried apricot, jasmine, cedar, hazelnut butter in aroma and small cup. Very syrupy mouthfeel; crisply fruit-toned finish. In three parts milk, chocolate notes are amplified, as are flowers.","A blend of coffees from Costa Rica and Ethiopia roasted for espresso applications. Warm Air Kafe is a small roastery and coffee shop in Taoyuan City, Taiwan. Visit https://www.facebook.com/warmair2021 for more information."
Ethiopia Tamiru Tadesse Tesema Anaerobic Natural,95,GK Coffee,Taiwan,['Yilan'],['southern Ethiopia'],['Sidama growing region'],Medium-Light,62.0,78.0,,,January 2022,9.0,9.0,9.0,9.0,9.0,"Intensely aromatic, richly sweet-savory, deeply floral. Concord grape, lilac, dark chocolate, shiitake mushroom, fresh-cut cedar in aroma and cup. Sweet-savory structure with juicy-bright acidity; plush, syrupy mouthfeel. Resonant, long, flavor-laden finish.","Produced by Tamiru Tadesse entirely of the 74165 variety of Arabica, and processed by the anaerobic natural method, in which fermentation of the whole fruit occurs in a hermetically sealed vessel. GK Coffee is a nano-roastery in Yilan, Taiwan that offers both retail and wholesale coffee. For more information, visit www.gkcoffee.com.tw or email [email protected]"
Ethiopia Aphrodite Washed Espresso,96,Simon Hsieh Aroma Roast Coffees,Taiwan,['Taoyuan'],['south-central Ethiopia'],['Yirgacheffe growing region'],Medium,44.0,60.0,28.05,226.8,January 2022,9.0,9.0,9.0,10.0,9.0,"Evaluated as espresso. Aromatic orchid, dark chocolate, black cherry, gently scorched sandalwood, tarragon in aroma and small cup. Creamy-smooth mouthfeel; resonant, complex, long finish. In three parts milk, floral and fruit tones harmonize with dark chocolate for a particularly complex cappuccino.","This exceptional coffee was selected as the No. 3 coffee on Coffee Review’s list of the Top 30 Coffees of 2022. Produced by smallholding farmers from trees of the 74110 and 74112 varieties of Arabica, and processed by the washed method. In addition to his retail roasting operation, Aroma Roast Coffees, Simon Hsieh also operates Soaring Phoenix Trading, a business focused on purpose-built commercial espresso blends and high-quality single-origin coffees. Customers can also visit the new showroom, Chateau Andy, in Taipei City. Visit www.facebook.com/4ArtsZeroDefectCoffees or call 886-0983-749876 for more information."
Kona Tropical Punch Washed,94,Paradise Roasters,Minnesota,['Minneapolis'],['Hawaii'],['Kona'],Medium-Light,60.0,76.0,25.0,113.4,January 2022,9.0,9.0,9.0,9.0,8.0,"Richly fruit-toned, complex. Dried mango, cocoa nib, cascara (coffee cherry tea), lilac, cedar in aroma and cup. Bittersweet structure with winy acidity; satiny-smooth mouthfeel. Fruit-driven finish with a bittersweet undercurrent that lends complexity.","Produced by smallholding farmers, entirely of the Typica variety of Arabica, and processed by the washed method using species of lactic acid producing yeast and bacteria during the fermentation step. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information."
Ka’u Bourbon Champagne Natural,94,Paradise Roasters,Minnesota,['Minneapolis'],['Hawaii'],['Ka’u growing region'],Medium-Light,58.0,76.0,30.0,113.4,January 2022,9.0,9.0,9.0,9.0,8.0,"Tropical, floral, and fruit-toned. Star jasmine, lychee, dark chocolate, cashew butter, sandalwood in aroma and cup. High-toned structure with vibrant acidity; very full, satiny mouthfeel. Fruit-toned finish with undertones of cashew and sandalwood.","Produced by Leo Norberte of JN Coffee Farm, entirely of the Red Bourbon variety of Arabica, and processed by a proprietary method, called “champagne natural,” in which a wine yeast strain is added to the fermentation process. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information."
